City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
118,coari,-4.085,-63.1414,28.82,54,95,0.31,BR,1723655763
119,ust'-barguzin,53.45,108.9833,13.87,98,100,3.0,RU,1723655765
120,yellowknife,62.456,-114.3525,12.29,100,100,5.66,CA,1723655766
121,lebu,-37.6167,-73.65,11.6,87,100,3.41,CL,1723655767
122,flying fish cove,-10.4217,105.6791,24.82,83,75,5.66,CX,1723655770
123,minas de marcona,-15.2119,-75.1103,17.46,51,0,4.4,PE,1723655772
124,papatowai,-46.5619,169.4708,12.28,54,100,5.61,NZ,1723655773
125,udachny,66.4167,112.4,6.89,62,61,3.01,RU,1723655774
126,sterling,39.0062,-77.4286,29.21,52,20,5.66,US,1723655776
127,petropavlovsk-kamchatsky,53.0452,158.6483,11.33,100,100,1.0,RU,1723655777
128,lamia,38.9,22.4333,31.46,37,0,2.07,GR,1723655779
129,antsiranana,-12.2787,49.2917,23.33,73,82,7.44,MG,1723655780
130,constantia,44.1833,28.65,25.39,60,0,6.86,RO,1723655781
131,port alfred,-33.5906,26.891,12.88,58,78,4.02,ZA,1723655783
132,vila franca do campo,37.7167,-25.4333,27.23,68,12,0.19,PT,1723655784
133,baiquan,47.5833,126.0833,20.57,76,93,1.88,CN,1723655786
134,usogorsk,63.4106,48.6872,13.44,71,67,3.26,RU,1723655787
135,enewetak,11.3474,162.3373,28.63,76,70,7.34,MH,1723655789
136,glace bay,46.1969,-59.957,20.44,85,100,6.69,CA,1723655790
137,el granada,37.5027,-122.4694,22.91,76,20,4.12,US,1723655791
138,inonu,37.3167,33.7667,27.53,16,0,3.48,TR,1723655794
139,sambava,-14.2667,50.1667,22.23,80,71,5.2,MG,1723655795
140,kyakhta,50.3508,106.4494,14.53,89,97,1.89,RU,1723655797
141,port hedland,-20.3167,118.5667,19.03,94,0,0.0,AU,1723655800
142,ghanzi,-21.5667,21.7833,19.07,8,0,3.83,BW,1723655801
143,amursk,50.2261,136.8994,15.86,91,2,0.64,RU,1723655803
144,karymskoye,51.6167,114.35,19.83,62,44,1.2,RU,1723655804
145,longyearbyen,78.2186,15.6401,11.91,82,75,1.54,SJ,1723655805
